created_at,text,quote_count,reply_count,retweet_count,favorite_count,positive_sentiment
2020-07-05,Limited edition short shorts now available at https://t.co/5EmNcTBvJv,4743,6636,9895,117993,0.004346948582679033
2020-07-05,"@spaceguy_24 @teslaownersSV @EvaFoxU @cnunezimages @Tesla Yeah, but first we need to finish Giga Berlin and a secon… https://t.co/4BjNmNENKQ",28,155,66,1134,0.007216319441795349
2020-07-04,"@HassanAesthetic Yeah, Tesla app would enable you to release your car into the fleet &amp; summon it back at will",21,156,77,1699,0.10941959172487259
2020-07-04,Congrats Tesla Team — U ROK!! https://t.co/lW7Ist98IY,204,3299,1620,37992,0.9963753819465637
2020-07-04,@GovStitt @Tesla @BearAgencyGroup @signal_factory Thanks for hosting me in Tulsa today!,52,156,144,2004,0.7770984172821045
2020-07-04,"@WholeMarsBlog @tesla_truth Greenspan is crackers, bananas, barky &amp; ten cards short of a full deck",40,310,290,5534,0.005698671098798513
2020-07-04,"RT @Tesla: Tesla Q2 2020 Vehicle Production &amp; Deliveries | Tesla, Inc. https://t.co/hgJDXLWmBg",0,0,0,0,0.0011166530894115567
2020-07-04,"@EvaFoxU @Tesla Others will probably pass human trials first, but this machine is pretty special for generalized va… https://t.co/dWsz1MS1Ku",37,264,200,4049,0.10360042750835419
2020-07-03,"@Lockl34r @Tesla Unfortunately, there are thousands of automotive design rule differences between US &amp; EU, includin… https://t.co/brBKyVq2kN",67,573,663,30454,0.0011754510924220085
2020-07-03,@ChrisMacFarland @Tesla Thanks!,11,163,59,6083,0.9753062129020691
2020-07-02,Thanks Tesla owners &amp; investors! Love you!! We will work super hard to earn your trust &amp; support. https://t.co/6mgcmlLTsA,313,3489,2782,43125,0.9904201626777649
2020-07-02,Tesla will make fabulous short shorts in radiant red satin with gold trim,2333,5116,11089,170318,0.42769119143486023
2020-07-02,"RT @Teslarati: Tesla crushes Wall Street’s Q2 estimates with over 90k deliveries $TSLA
https://t.co/zSBqpFaSjS",0,0,0,0,0.014482205733656883
2020-07-02,@truth_tesla @bipulh Lithium is common. Hard part is turning lithium salt or clay into extremely pure LiOH.,27,87,76,1026,0.007660153321921825
2020-07-02,"@Kristennetten @SamTalksTesla @tlowdon @daniellevitt22 Yes, at Tesla Grohmann",5,65,49,1049,0.012158557772636414
