date,volume,formatted_date,pct_change_2_days,log_return_2_days,pct_change_3_days,log_return_3_days,pct_change_14_days,log_return_14_days,pct_change_7_days,log_return_7_days
1587648600,13236700,2020-04-23,0.027536791565714758,0.02716447362380947,-0.054571493116923886,-0.05611700782704521,0.5526438647139276,0.43995919701462416,-0.006000857633854828,-0.006018935136654413
1587735000,13237600,2020-04-24,-0.009506756627197133,-0.009552234297586892,0.05596170904133069,0.05445192424911838,0.5106976983708562,0.41257159601495275,-0.006412483843869166,-0.006433132136955955
1587994200,20681400,2020-04-27,0.1319671214771505,0.12395693472769498,0.09102459463988422,0.08711724980479918,0.5472454507607447,0.4364762214234421,0.07184546650426604,0.06938189787701976
1588080600,15222000,2020-04-28,0.06063577481675875,0.05886851588628694,0.08997631485222901,0.08615596651159585,0.41006517820850696,0.3436359290014952,0.020201921046104188,0.02000056951423268
1588167000,16216000,2020-04-29,0.0022034742089691584,0.002201050119966297,0.10392337000927743,0.09887053422235237,0.4585490151840719,0.3774421163321344,0.07255213034451669,0.07004097702061607
1588253400,28471900,2020-04-30,0.016590401160201163,0.016454283885164678,-0.02112045646273475,-0.02134668433093445,0.364537601764374,0.31081561796089474,0.13857186154034862,0.12977472402057
1588339800,32531800,2020-05-01,-0.12390848844096869,-0.13228472825182358,-0.08815267517837999,-0.09228270991575815,0.07737925292295067,0.07453147446384101,-0.04205645070525865,-0.042966428327058104
1588599000,19237100,2020-05-04,-0.026461863079559445,-0.0268182798776877,-0.04911867538976855,-0.05036601432858845,0.07226478746693865,0.06977303538241841,0.07873814147815827,0.07579197051907283
1588685400,16991700,2020-05-05,0.095377217253231,0.09109879458740622,-0.017483556717639237,-0.017638199213516614,0.05258755253486602,0.05125146842097905,0.05938081489488445,0.057684600557935006
1588771800,11123200,2020-05-06,0.028100734985321285,0.027713153463003515,0.11586720772573522,0.10963186738623865,0.0501469293892256,0.04893008713140112,-0.020244090956328287,-0.020451810745618637
